,Country,age,Gender,slug,years,date_of_information,ranking,region,Population
151,Sudan,73.0,Male,sudan,19.1,2023,210,Africa,48.1
152,Suriname,79.0,Male,suriname,31.6,2023,118,South America,0.6
153,Sweden,57.0,Female,sweden,41.0,2023,51,Europe,10.6
154,Switzerland,63.0,Male,switzerland,44.0,2023,31,Europe,8.8
155,Syria,59.0,Male,syria,23.9,2023,176,Middle East,23.2
156,Tajikistan,72.0,Male,tajikistan,22.7,2023,179,Central Asia,10.1
157,Tanzania,64.0,Female,tanzania,18.9,2023,213,Africa,67.4
158,Thailand,86.0,Male,thailand,41.0,2023,53,East and Southeast Asia,71.8
159,Togo,58.0,Male,togo,20.5,2023,196,Africa,9.1
160,Tonga,80.0,Male,tonga,25.4,2023,164,Australia and Oceania,0.1
161,Trinidad and Tobago,66.0,Female,trinidad-and-tobago,38.0,2023,74,Central America and the Caribbean,1.5
162,Tunisia,66.0,Male,tunisia,34.0,2023,101,Africa,12.5
163,Turkmenistan,43.0,Male,turkmenistan,30.7,2023,127,Central Asia,6.5
164,Tuvalu,68.0,Male,tuvalu,27.5,2023,153,Australia and Oceania,0.0
165,Uganda,80.0,Male,uganda,16.1,2023,226,Africa,48.6
166,Ukraine,46.0,Male,ukraine,45.3,2023,15,Europe,36.7
167,United Arab Emirates,63.0,Male,united-arab-emirates,35.7,2023,92,Middle East,9.5
168,United Kingdom,44.0,Male,united-kingdom,40.6,2023,58,Europe,67.7
169,United States,82.0,Male,united-states,38.5,2020,68,North America,340.0
170,Uruguay,51.0,Male,uruguay,36.2,2023,87,South America,3.4
171,Uzbekistan,86.0,Male,uzbekistan,28.7,2023,145,Central Asia,35.2
172,Vanuatu,70.0,Male,vanuatu,24.2,2023,174,Australia and Oceania,0.3
173,Venezuela,62.0,Male,venezuela,30.8,2023,126,South America,28.8
174,Vietnam,80.0,Male,vietnam,32.7,2023,111,East and Southeast Asia,98.9
175,Yemen,79.0,Male,yemen,21.6,2023,188,Middle East,34.4
176,Zambia,62.0,Male,zambia,18.2,2023,218,Africa,20.6
177,Zimbabwe,82.0,Male,zimbabwe,21.0,2023,191,Africa,16.7
