,Country,age,Gender,slug,years,date_of_information,ranking,region
55,Gabon,89,Male,gabon,21.8,2023,146,Africa
122,Papua New Guinea,60,Male,papua-new-guinea,21.6,2023,147,East and Southeast Asia
176,Yemen,79,Male,yemen,21.6,2023,148,Middle East
58,Ghana,80,Male,ghana,21.3,2023,149,Africa
47,Eritrea,78,Male,eritrea,21,2023,150,Africa
93,Madagascar,50,Male,madagascar,21,2023,151,Africa
178,Zimbabwe,82,Male,zimbabwe,21,2023,152,Africa
80,Kenya,58,Male,kenya,20.9,2023,153,Africa
131,Rwanda,67,Male,rwanda,20.5,2023,154,Africa
160,Togo,58,Male,togo,20.5,2023,155,Africa
30,Central African Republic,67,Male,central-african-republic,20.2,2023,156,Africa
49,Ethiopia,48,Male,ethiopia,20.2,2023,157,Africa
94,Malawi,69,Male,malawi,20,2023,158,Africa
0,Afghanistan,75,Male,afghanistan,19.9,2023,159,South Asia
88,Liberia,58,Male,liberia,19.7,2023,160,Africa
62,Guinea,44,Male,guinea,19.3,2023,161,Africa
116,Nigeria,82,Male,nigeria,19.2,2023,162,Africa
141,Sierra Leone,60,Male,sierra-leone,19.2,2023,163,Africa
151,Sudan,73,Male,sudan,19.1,2023,164,Africa
138,Senegal,63,Male,senegal,19,2023,165,Africa
147,Somalia,69,Male,somalia,19,2023,166,Africa
158,Tanzania,64,Female,tanzania,18.9,2023,167,Africa
28,Cameroon,91,Male,cameroon,18.8,2023,168,Africa
25,Burkina Faso,43,Male,burkina-faso,18.5,2023,169,Africa
63,Guinea-Bissau,52,Male,guinea-bissau,18.3,2023,170,Africa
26,Burundi,56,Male,burundi,18.2,2023,171,Africa
177,Zambia,62,Male,zambia,18.2,2023,172,Africa
107,Mozambique,65,Male,mozambique,17.2,2023,173,Africa
17,Benin,66,Male,benin,17.1,2023,174,Africa
31,Chad,40,Male,chad,16.5,2023,175,Africa
97,Mali,41,Male,mali,16.3,2023,176,Africa
4,Angola,70,Male,angola,16.2,2023,177,Africa
166,Uganda,80,Male,uganda,16.1,2023,178,Africa
115,Niger,72,Male,niger,15.1,2023,179,Africa
