Country,Age,Gender,slug, years,date_of_information,ranking,region
Marshall Islands,73.0,Male,marshall-islands,25.1,2023,167,Australia and Oceania
Mauritania,68.0,Male,mauritania,21.9,2023,183,Africa
Mexico,71.0,Male,mexico,30.6,2023,128,North America
Moldova,52.0,Female,moldova,39.4,2023,63,Europe
Monaco,66.0,Male,monaco,56.2,2023,1,Europe
Mongolia,56.0,Male,mongolia,31.2,2023,124,East and Southeast Asia
Montenegro,62.0,Male,montenegro,40.7,2023,54,Europe
Morocco,63.0,Male,morocco,30.2,2023,133,Africa
Mozambique,65.0,Male,mozambique,17.2,2023,220,Africa
Namibia,83.0,Male,namibia,22.5,2023,180,Africa
Nauru,52.0,Male,nauru,27.5,2023,154,Australia and Oceania
Nepal,80.0,Male,nepal,27.1,2023,156,South Asia
Nepal,80.0,Male,nepal,27.1,2023,156,South Asia
Netherlands,57.0,Male,netherlands,42.2,2023,43,Europe
New Zealand,44.0,Female,new-zealand,37.7,2023,78,Australia and Oceania
Nicaragua,79.0,Male,nicaragua,28.5,2023,146,Central America and the Caribbean
Niger,72.0,Male,niger,15.1,2023,227,Africa
Nigeria,82.0,Male,nigeria,19.2,2023,207,Africa
Norway,63.0,Male,norway,40.6,2023,57,Europe
Oman,69.0,Male,oman,27.1,2023,155,Middle East
Pakistan,75.0,Male,pakistan,22.7,2023,178,South Asia
Palau,56.0,Male,palau,35.0,2023,95,Australia and Oceania
Panama,71.0,Male,panama,31.2,2023,125,Central America and the Caribbean
Papua New Guinea,60.0,Male,papua-new-guinea,21.6,2023,187,East and Southeast Asia
Paraguay,53.0,Male,paraguay,31.3,2023,121,South America
Peru,55.0,Male,peru,30.1,2023,136,South America
Philippines,67.0,Male,philippines,25.4,2023,165,East and Southeast Asia
Poland,52.0,Male,poland,42.4,2023,40,Europe
Portugal,76.0,Male,portugal,46.0,2023,11,Europe
Qatar,44.0,Male,qatar,34.2,2023,100,Middle East
Romania,65.0,Male,romania,45.1,2023,17,Europe
Russia,72.0,Male,russia,41.5,2023,48,Central Asia
Rwanda,67.0,Male,rwanda,20.5,2023,195,Africa
Saint Kitts and Nevis,48.0,Male,saint-kitts-and-nevis,38.1,2023,72,Central America and the Caribbean
Saint Lucia,70.0,Female,saint-lucia,39.0,2023,66,Central America and the Caribbean
Saint Vincent and the Grenadines,78.0,Male,saint-vincent-and-the-grenadines,37.0,2023,80,Central America and the Caribbean
Samoa,67.0,Male,samoa,26.9,2023,158,Australia and Oceania
San Marino,52.0,Male,san-marino,45.9,2023,13,Europe
Saudi Arabia,100.0,Male,saudi-arabia,32.0,2023,115,Middle East
Senegal,63.0,Male,senegal,19.0,2023,212,Africa
Serbia,54.0,Male,serbia,43.7,2023,34,Europe
Seychelles,63.0,Male,seychelles,38.2,2023,70,Africa
Sierra Leone,60.0,Male,sierra-leone,19.2,2023,208,Africa
Singapore,90.0,Male,singapore,38.9,2023,67,East and Southeast Asia
Sint Maarten,56.0,Female,sint-maarten,41.1,2023,49,Central America and the Caribbean
Slovakia,51.0,Female,slovakia,42.5,2023,38,Europe
Slovenia,72.0,Male,slovenia,45.9,2023,12,Europe
Solomon Islands,69.0,Male,solomon-islands,24.8,2023,169,Australia and Oceania
Somalia,69.0,Male,somalia,19.0,2023,211,Africa
South Africa,72.0,Male,south-africa,30.1,2023,135,Africa
Spain,52.0,Male,spain,46.3,2023,9,Europe
Sri Lanka,75.0,Male,sri-lanka,33.9,2023,104,South Asia
Sudan,73.0,Male,sudan,19.1,2023,210,Africa
Suriname,79.0,Male,suriname,31.6,2023,118,South America
Sweden,57.0,Female,sweden,41.0,2023,51,Europe
Switzerland,63.0,Male,switzerland,44.0,2023,31,Europe
Syria,59.0,Male,syria,23.9,2023,176,Middle East
Tajikistan,72.0,Male,tajikistan,22.7,2023,179,Central Asia
Tanzania,64.0,Female,tanzania,18.9,2023,213,Africa
Thailand,86.0,Male,thailand,41.0,2023,53,East and Southeast Asia
Togo,58.0,Male,togo,20.5,2023,196,Africa
Tonga,80.0,Male,tonga,25.4,2023,164,Australia and Oceania
Trinidad and Tobago,66.0,Female,trinidad-and-tobago,38.0,2023,74,Central America and the Caribbean
Tunisia,66.0,Male,tunisia,34.0,2023,101,Africa
Turkmenistan,43.0,Male,turkmenistan,30.7,2023,127,Central Asia
Tuvalu,68.0,Male,tuvalu,27.5,2023,153,Australia and Oceania
Uganda,80.0,Male,uganda,16.1,2023,226,Africa
Ukraine,46.0,Male,ukraine,45.3,2023,15,Europe
United Arab Emirates,63.0,Male,united-arab-emirates,35.7,2023,92,Middle East
United Kingdom,44.0,Male,united-kingdom,40.6,2023,58,Europe
United States,82.0,Male,united-states,38.5,2020,68,North America
Uruguay,51.0,Male,uruguay,36.2,2023,87,South America
Uzbekistan,86.0,Male,uzbekistan,28.7,2023,145,Central Asia
Vanuatu,70.0,Male,vanuatu,24.2,2023,174,Australia and Oceania
Venezuela,62.0,Male,venezuela,30.8,2023,126,South America
Vietnam,80.0,Male,vietnam,32.7,2023,111,East and Southeast Asia
Yemen,79.0,Male,yemen,21.6,2023,188,Middle East
Zambia,62.0,Male,zambia,18.2,2023,218,Africa
Zimbabwe,82.0,Male,zimbabwe,21.0,2023,191,Africa
